Date,Start Time,Event ID,Sport,League,Market,Derivative,Event/Match,Bet,Odds,Stake,Bookmaker,Payout,Closing Line,CLV%,Profit/Loss,Notes/Comments,Bet ID#,Result
2025-01-05,22:20,,Football,NFL,Moneyline,No,Jameson Williams (Receptions),Under 4.5 Receptions,-125,100,Pinnacle,80,,,-100.00,,2042761443,Loss
2025-01-05,22:20,,Football,NFL,Moneyline,No,Jake Bates (Kicking Points),Under 7.5 Kicking Points,108,100,Pinnacle,108,,,108.00,,2042860756,Win
2025-01-05,18:25,,Football,NFL,Moneyline,No,Jonnu Smith (Receptions),Over 3.5 Receptions,-125,300,Pinnacle,240,,,240.00,,2042824964,Win
2025-01-05,22:20,,Football,NFL,Moneyline,No,LiveMinnesota Vikings vs Detroit Lions,Under 42.5,120,111,Pinnacle,133.2,,,133.20,,2042880364,Win
2025-01-05,22:40,,Basketball,NBA,Spread,No,LiveSacramento Kings vs Golden State Warriors,Golden State Warriors +12.5,-122,111,Pinnacle,90.98,,,-111.00,,2042876425,Loss
2025-01-05,22:40,,Basketball,NBA,Spread,No,LiveSacramento Kings vs Golden State Warriors,Sacramento Kings -18.0,-112,300,Pinnacle,267.86,,,267.86,,2042880561,Win
2025-01-05,21:10,,Basketball,NBA,Spread,No,LiveLos Angeles Lakers vs Houston Rockets,Los Angeles Lakers +6.5,-111,200,Pinnacle,180.18,,,180.18,,2042869746,Win
2025-01-05,21:10,,Basketball,NBA,Total,Yes,LiveLos Angeles Lakers vs Houston Rockets,Over 53.5,124,200,Pinnacle,248,,,248.00,,2042862483,Win
2025-01-05,21:10,,Basketball,NBA,Total,Yes,LiveLos Angeles Lakers vs Houston Rockets,Over 53.5,124,200,Pinnacle,248,,,248.00,,2042862549,Win
2025-01-05,20:10,,Basketball,NBA,Player Prop,No,Brandon Miller (Points),Over 18.5 Points,-113,100,Pinnacle,88.5,,,88.50,,2042772539,Win
2025-01-05,20:10,,Basketball,NBA,Total,No,LiveCharlotte Hornets vs Cleveland Cavaliers,Under 226.5,-104,100,Pinnacle,96.15,,,96.15,,2042856551,Win
2025-01-05,18:00,,Basketball,NCAA,Total,No,LiveIllinois vs Washington,Under 156.5,101,300,Pinnacle,303,,,-300.00,,2042837306,Loss
2025-01-05,18:00,,Basketball,NCAA,Spread,No,LiveMaryland vs Oregon,Oregon +1.5,-114,111,Pinnacle,97.37,,,97.37,,2042834660,Win
2025-01-05,18:25,,Football,NFL,Spread,Yes,Miami Dolphins vs New York Jets,Miami Dolphins - Over 9.5,-101,100,Pinnacle,99.01,,,-100.00,,2042717029,Loss
2025-01-05,18:00,,Basketball,NCAA,Total,No,LiveKansas vs Central Florida,Kansas - Over 79.5,-104,222,Pinnacle,213.46,,,213.46,,2042833775,Win
2025-01-05,18:00,,Basketball,NCAA,Total,No,LiveKansas vs Central Florida,Over 143.5,-115,155,Pinnacle,134.78,,,134.78,,2042834847,Win
2025-01-05,18:00,,Basketball,NCAA,Spread,No,LiveSouthern Illinois vs Illinois State,Illinois State -14.5,-108,111,Pinnacle,102.78,,,102.78,,2042834341,Win
2025-01-05,18:00,,Basketball,NCAA,Spread,No,LiveSouthern Illinois vs Illinois State,Illinois State -14.5,-108,111,Pinnacle,102.78,,,102.78,,2042834408,Win
2025-01-05,15:00,,Football,NFL,Moneyline,No,Washington Commanders vs Dallas Cowboys,Under 43.5,-113,180,Pinnacle,159.29,,,159.29,,2042740428,Win
2025-01-05,16:00,,Basketball,NCAA,Spread,No,Northwestern vs Purdue,Purdue -7.5,103,100,Pinnacle,103,,,103.00,,2042583000,Win
2025-01-05,16:00,,Basketball,NCAA,Total,Yes,Colgate vs Bucknell,Over 63.5,102,100,Pinnacle,102,,,-100.00,,2042717561,Loss
2025-01-06,21:10,,Basketball,NBA,Player Prop,No,Mason Plumlee (Rebounds),Over 7.5 Rebounds,144,300,Pinnacle,432,,,-300.00,,2043020580,Loss
2025-01-06,22:10,,Basketball,NBA,Player Prop,No,Anthony Edwards (Assists),Under 4.5 Assists,-146,80,Pinnacle,54.79,,,-80.00,,2043036290,Loss
2025-01-06,21:40,,Basketball,NBA,Player Prop,No,Scottie Barnes (Assists),Under 5.5 Assists,101,100,Pinnacle,101,,,101.00,,2043014782,Win
2025-01-06,21:10,,Basketball,NBA,Player Prop,No,Ausar Thompson (Pts+Rebs+Asts),Over 18.5 Points+Rebs+Assists,110,100,Pinnacle,110,,,,,2042977050,Pending
2025-01-06,21:10,,Basketball,NBA,Player Prop,No,Cade Cunningham (Rebounds),Over 5.5 Rebounds,-118,100,Pinnacle,84.75,,,84.75,,2042941207,Win
2025-01-06,23:00,,Basketball,NCAA,Spread,No,LiveOhio State vs Minnesota,Minnesota +5.5,-108,333,Pinnacle,308.33,,,308.33,,2043094322,Win
2025-01-06,23:00,,Basketball,NCAA,Spread,No,LiveOhio State vs Minnesota,Ohio State -2.5,-104,111,Pinnacle,106.73,,,-111.00,,2043097521,Loss
2025-01-06,23:00,,Basketball,NCAA,Total,No,LiveOhio State vs Minnesota,Over 124.5,-115,222,Pinnacle,193.04,,,193.04,,2043099958,Win
2025-01-06,23:00,,Basketball,NCAA,Total,No,LiveGrambling vs Texas Southern,Under 139.5,-117,111,Pinnacle,94.87,,,94.87,,2043090747,Win
2025-01-06,23:00,,Basketball,NCAA,Total,No,LiveTCU vs Houston,Over 116,-123,111,Pinnacle,90.24,,,-111.00,,2043093911,Loss
2025-01-06,23:00,,Basketball,NCAA,Total,No,LiveTCU vs Houston,Over 116.5,-116,111,Pinnacle,95.69,,,-111.00,,2043094073,Loss
2025-01-06,23:00,,Basketball,NCAA,Total,No,LiveTCU vs Houston,Under 120.5,-119,222,Pinnacle,186.55,,,186.55,,2043100063,Win
2025-01-06,22:10,,Basketball,NBA,Player Prop,No,Norman Powell (Points),Over 21.5 Points,-104,200,Pinnacle,192.31,,,192.31,,2042982849,Win
2025-01-06,22:10,,Basketball,NBA,Player Prop,No,Spencer Dinwiddie (Points),Over 15.5 Points,115,100,Pinnacle,115,,,-100.00,,2043018160,Loss
2025-01-06,22:10,,Basketball,NBA,Total,No,LiveLos Angeles Clippers vs Minnesota Timberwolves,Minnesota Timberwolves - Under 105.5,-106,222,Pinnacle,209.43,,,-222.00,,2043095996,Loss
2025-01-06,22:00,,Basketball,NCAA,Total,No,LiveSouth Carolina State vs Coppin State,Under 170,-127,155,Pinnacle,122.05,,,122.05,,2043088145,Win
2025-01-06,22:00,,Basketball,NCAA,Total,No,LiveMississippi Valley State vs Alabama A&M,Over 133.5,-116,200,Pinnacle,172.41,,,172.41,,2043072668,Win
2025-01-06,22:00,,Basketball,NCAA,Total,No,LiveIncarnate Word vs Lamar,Over 133.5,-112,200,Pinnacle,178.57,,,-200.00,,2043074225,Loss
2025-01-06,22:00,,Basketball,NCAA,Total,No,LiveIncarnate Word vs Lamar,Over 133.5,-114,200,Pinnacle,175.44,,,-200.00,,2043074283,Loss
2025-01-06,21:10,,Basketball,NBA,Player Prop,No,Bradley Beal (3 Point FG),Over 1.5 3-Point Field Goals,-110,150,Pinnacle,136.36,,,136.36,,2043002535,Win
2025-01-06,21:10,,Basketball,NBA,Player Prop,No,Kelly Oubre Jr. (Points),Under 11.5 Points,-107,100,Pinnacle,93.46,,,-100.00,,2042977197,Loss
2025-01-06,21:30,,Basketball,NCAA,Total,No,Texas A&M Corpus Christi vs New Orleans,Texas A&M Corpus Christi - Over 79.5,-131,222,Pinnacle,169.47,,,169.47,,2043008420,Win
2025-01-06,21:40,,Basketball,NBA,Moneyline,Yes,LiveMilwaukee Bucks vs Toronto Raptors,Milwaukee Bucks,-106,400,Pinnacle,377.36,,,377.36,,2043073785,Win
2025-01-06,21:40,,Basketball,NBA,Moneyline,Yes,LiveMilwaukee Bucks vs Toronto Raptors,Milwaukee Bucks,-111,200,Pinnacle,180.18,,,180.18,,2043073873,Win
2025-01-06,21:40,,Basketball,NBA,Total,Yes,LiveIndiana Pacers vs Brooklyn Nets,Over 56.5,-102,200,Pinnacle,196.08,,,-200.00,,2043077169,Loss
2025-01-06,21:00,,Basketball,NCAA,Total,No,LiveArkansas Pine Bluff vs Alabama State,Over 180,-127,150,Pinnacle,118.11,,,118.11,,2043077730,Win
2025-01-07,21:10,,Basketball,NBA,Player Prop,No,Bilal Coulibaly (Assists),Under 4.5 Assists,-121,100,Pinnacle,82.64,,,82.64,,2043233863,Win
2025-01-07,23:00,,Basketball,NCAA,Total,No,LiveAuburn vs Texas,Over 144.5,-112,111,Pinnacle,99.11,,,99.11,,2043353806,Win
2025-01-07,23:00,,Basketball,NCAA,Total,No,LiveAuburn vs Texas,Over 142.5,-108,333,Pinnacle,308.33,,,308.33,,2043355537,Win
2025-01-07,23:00,,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -14.5,-107,222,Pinnacle,207.48,,,-222.00,,2043355961,Loss
2025-01-07,23:00,,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -14.5,-107,111,Pinnacle,103.74,,,-111.00,,2043355994,Loss
2025-01-07,23:00,,Basketball,NCAA,Spread,No,LiveAuburn vs Texas,Auburn -13.5,-113,333,Pinnacle,294.69,,,-333.00,,2043360239,Loss
2025-01-07,23:00,,Basketball,NCAA,Total,No,LiveSMU vs North Carolina,Over 158,-116,222,Pinnacle,191.38,,,-222.00,,2043354965,Loss
2025-01-07,23:00,,Basketball,NCAA,Spread,No,LiveFresno State vs Colorado State,Colorado State -27.5,-107,111,Pinnacle,103.74,,,-111.00,,2043360479,Loss
2025-01-07,23:10,,Basketball,NBA,Moneyline,Yes,LiveAtlanta Hawks vs Utah Jazz,Atlanta Hawks,-128,222,Pinnacle,173.44,,,173.44,,2043362608,Win
2025-01-07,22:10,,Basketball,NBA,Total,No,LiveMinnesota Timberwolves vs New Orleans Pelicans,Under 220.5,106,155,Pinnacle,164.3,,,164.30,,2043354682,Win
2025-01-07,22:10,,Basketball,NBA,Moneyline,No,LiveMinnesota Timberwolves vs New Orleans Pelicans,Minnesota Timberwolves,122,155,Pinnacle,189.1,,,189.10,,2043355222,Win
2025-01-07,23:10,,Basketball,NBA,Total,Yes,LiveAtlanta Hawks vs Utah Jazz,Under 60.5,111,111,Pinnacle,123.21,,,123.21,,2043356304,Win
2025-01-07,23:00,,Basketball,NCAA,Total,Yes,LiveLSU vs Missouri,Over 67.5,-122,222,Pinnacle,181.97,,,181.97,,2043351852,Win
2025-01-07,22:00,,Basketball,NCAA,Total,No,LiveTulsa vs Texas San Antonio,Over 143.5,-110,200,Pinnacle,181.82,,,181.82,,2043338029,Win
2025-01-07,21:35,,Basketball,NBA,Total,No,LiveLos Angeles Lakers vs Dallas Mavericks,Over 214.5,-123,100,Pinnacle,81.3,,,81.30,,2043341854,Win
2025-01-07,21:10,,Basketball,NBA,Spread,No,LivePhoenix Suns vs Charlotte Hornets,Phoenix Suns +8.5,-146,200,Pinnacle,136.99,,,-200.00,,2043337393,Loss
2025-01-07,21:10,,Basketball,NBA,Total,No,LivePhoenix Suns vs Charlotte Hornets,Charlotte Hornets - Under 113.5,-106,100,Pinnacle,94.34,,,-100.00,,2043338938,Loss
2025-01-07,21:00,,Basketball,NCAA,Total,No,LiveMiami Ohio vs Ball State,Under 149.5,-113,200,Pinnacle,176.99,,,-200.00,,2043338815,Loss
2025-01-07,21:10,,Basketball,NBA,Player Prop,No,Cam Whitmore (Points),Under 12.5 Points,112,120,Pinnacle,134.4,,,-120.00,,2043305351,Loss
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveEastern Michigan vs Toledo,Eastern Michigan +9.5,-110,200,Pinnacle,181.82,,,181.82,,2043339734,Win
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveTennessee vs Florida,Tennessee +15.5,-103,200,Pinnacle,194.17,,,-200.00,,2043335334,Loss
2025-01-07,22:00,,Basketball,NCAA,Total,Yes,LiveCincinnati vs Baylor,Over 66.5,119,150,Pinnacle,178.5,,,-150.00,,2043342725,Loss
2025-01-07,21:00,,Basketball,NCAA,Total,No,LiveGeorgia Tech vs Syracuse,Over 118.5,-107,200,Pinnacle,186.92,,,-200.00,,2043339548,Loss
2025-01-07,21:00,,Basketball,NCAA,Total,No,LiveOhio vs Buffalo,Under 145.5,-118,200,Pinnacle,169.49,,,-200.00,,2043337460,Loss
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveOhio vs Buffalo,Ohio -19.5,-108,200,Pinnacle,185.19,,,-200.00,,2043338352,Loss
2025-01-07,21:10,,Basketball,NBA,Total,Yes,LiveHouston Rockets vs Washington Wizards,Over 64.5,127,150,Pinnacle,190.5,,,-150.00,,2043343267,Loss
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -11.5,-118,222,Pinnacle,188.14,,,188.14,,2043336974,Win
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -14.5,-110,200,Pinnacle,181.82,,,181.82,,2043338456,Win
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Central Michigan +14.5,-110,200,Pinnacle,181.82,,,-200.00,,2043338643,Loss
2025-01-07,21:00,,Basketball,NCAA,Spread,No,LiveCentral Michigan vs Akron,Akron -14.5,-110,400,Pinnacle,363.64,,,363.64,,2043338684,Win
2025-01-07,0:10,,Basketball,NBA,Total,Yes,LiveMiami Heat vs Sacramento Kings,Over 51.5,106,155,Pinnacle,164.3,,,164.30,,2043107975,Win
2025-01-08,21:00,,Basketball,NCAA,Moneyline,No,LiveFurman vs The Citadel,Furman,-165,200,Pinnacle,121.21,,,121.21,,2043621079,Win
2025-01-08,21:00,,Basketball,NCAA,Moneyline,No,LiveMurray State vs Northern Iowa,Murray State,-133,200,Pinnacle,150.38,,,150.38,,2043621849,Win
2025-01-08,0:00,,Basketball,NCAA,Total,No,LiveUtah State vs San Jose State,Over 155.5,-119,155,Pinnacle,130.25,,,130.25,,2043366242,Win
2025-01-08,0:07,,Hockey,NHL,Player Prop,Yes,LiveCalgary Flames vs Anaheim Ducks,Anaheim Ducks - Under 0.5,-134,155,Pinnacle,115.67,,,115.67,,2043366065,Win
2025-01-08,0:10,,Basketball,NBA,Player Prop,Yes,LiveMiami Heat vs Golden State Warriors,Golden State Warriors - Under 25.5,-120,155,Pinnacle,129.17,,,129.17,,2043366465,Win
2025-01-09,1:05,,Basketball,NCAA,Spread,No,Virginia vs California,California -4.0,-106,150,Pinnacle,141.51,,,141.51,,2043362160,Win
2025-02-09,20:30,,Football,NFL,Moneyline,No,Total Tackles + Assists Milton Williams,Over 1.5 Regular,-116,300,Pinnacle,258.62,,,258.62,,2051349750,Win
2025-02-09,20:30,,Football,NFL,Moneyline,No,Saquon Barkley longest rushing attempt will be,Over 25.5 Regular,130,333,Pinnacle,432.9,,,-333.00,,2051813097,Loss
2025-02-09,20:30,,Football,NFL,Moneyline,No,Total rushing attempts for Isiah Pacheco,Over 5.5 Regular,-106,300,Pinnacle,283.02,,,-300.00,,2050340796,Loss
2025-02-09,16:00,,Basketball,NCAA,Total,No,LiveArizona State vs Oklahoma State,Under 155.5,-104,333,Pinnacle,320.19,,,-333.00,,2053277775,Loss
2025-02-10,21:00,,Basketball,NCAA,Spread,Yes,Mississippi Valley State vs Alcorn State,Alcorn State -8.5,-145,500,Pinnacle,344.83,,,344.83,,2053408111,Win
2025-02-10,21:10,,Basketball,NBA,Player Prop,No,Franz Wagner (Pts+Rebs+Asts),Over 35.5 Points+Rebs+Assists,-115,400,Pinnacle,347.83,,,347.83,,2053394089,Win
2025-02-10,23:10,,Basketball,NBA,Player Prop,No,Jamal Murray (Pts+Rebs+Asts),Under 31.5 Points+Rebs+Assists,110,300,Pinnacle,330,,,330.00,,2053474788,Win
2025-02-10,22:40,,Basketball,NBA,Player Prop,No,Kyrie Irving (Pts+Rebs+Asts),Under 38.5 Points+Rebs+Assists,-106,400,Pinnacle,377.36,,,-400.00,,2053394293,Loss
2025-02-10,22:40,,Basketball,NBA,Player Prop,No,DeMar DeRozan (Pts+Rebs+Asts),Over 25.5 Points+Rebs+Assists,-129,500,Pinnacle,387.6,,,387.60,,2053391657,Win
2025-02-10,23:10,,Basketball,NBA,Total,No,LivePortland Trail Blazers vs Denver Nuggets,Over 237.5,107,333,Pinnacle,356.31,,,356.31,,2053528326,Win
2025-02-10,23:00,,Basketball,NCAA,Total,No,LiveCharlotte U vs Florida Atlantic,Over 160.5,-108,333,Pinnacle,308.33,,,308.33,,2053530027,Win
2025-02-10,22:10,,Basketball,NBA,Total,No,LiveGolden State Warriors vs Milwaukee Bucks,Under 230.5,101,333,Pinnacle,336.33,,,-333.00,,2053533580,Loss
2025-02-10,21:40,,Basketball,NBA,Spread,No,LiveCharlotte Hornets vs Brooklyn Nets,Charlotte Hornets +19.5,-134,333,Pinnacle,248.51,,,248.51,,2053530297,Win
2025-02-10,21:10,,Basketball,NBA,Player Prop,No,Kyshawn George (3 Point FG),Over 1.5 3-Point Field Goals,-140,300,Pinnacle,214.29,,,-300.00,,2053476927,Loss
2025-02-10,21:10,,Basketball,NBA,Player Prop,No,Richaun Holmes (Points),Over 9.5 Points,111,380,Pinnacle,421.8,,,421.80,,2053471430,Win
2025-02-10,22:40,,Basketball,NBA,Total,Yes,Sacramento Kings vs Dallas Mavericks,Dallas Mavericks - Over 60.5,101,350,Pinnacle,353.5,,,353.50,,2053423733,Win
2025-02-10,21:10,,Basketball,NBA,Player Prop,No,Anthony Edwards (Points),Under 31.5 Points,-122,370,Pinnacle,303.28,,,-370.00,,2053456441,Loss
2025-02-10,21:00,,Basketball,NCAA,Moneyline,No,LiveSouthern vs Alabama State,Alabama State,-110,300,Pinnacle,272.73,,,272.73,,2053508004,Win
2025-02-11,21:10,,Basketball,NBA,Player Prop,No,Jonathan Mogbo (Rebounds),Over 6.5 Rebounds,112,200,Pinnacle,224,,,-200.00,,2053734282,Loss
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,Jalen Brunson (Assists),Under 7.5 Assists,-120,222,Pinnacle,185,,,185.00,,2053759051,Win
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,Mikal Bridges (Pts+Rebs+Asts),Over 22.5 Points+Rebs+Assists,-127,400,Pinnacle,314.96,,,-400.00,,2053736161,Loss
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,Mikal Bridges (Pts+Rebs+Asts),Over 23.5 Points+Rebs+Assists,-112,300,Pinnacle,267.86,,,-300.00,,2053750653,Loss
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,T.J. McConnell (Assists),Under 3.5 Assists,113,400,Pinnacle,452,,,-400.00,,2053736237,Loss
2025-02-11,22:10,,Basketball,NBA,Player Prop,No,Cade Cunningham (Assists),Under 10.5 Assists,-126,350,Pinnacle,277.78,,,277.78,,2053729565,Win
2025-02-11,23:00,,Basketball,NCAA,Total,No,LiveConnecticut vs Creighton,Over 144,-107,333,Pinnacle,311.21,,,-333.00,,2053782038,Loss
2025-02-11,23:00,,Basketball,NCAA,Total,No,LivePittsburgh vs SMU,Over 156.5,-106,222,Pinnacle,209.43,,,-222.00,,2053782000,Loss
2025-02-11,23:00,,Basketball,NCAA,Total,No,LiveLoyola Marymount vs Pepperdine,Over 139,-111,333,Pinnacle,300,,,-333.00,,2053782740,Loss
2025-02-11,22:00,,Basketball,NCAA,Total,No,LiveIllinois Chicago vs Murray State,Over 122.5,-108,500,Pinnacle,462.96,,,-500.00,,2053770945,Loss
2025-02-11,22:00,,Basketball,NCAA,Total,No,LiveIllinois Chicago vs Murray State,Under 129.5,-116,333,Pinnacle,287.07,,,287.07,,2053776025,Win
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,Pascal Siakam (3 Point FG),Over 1.5 3-Point Field Goals,116,330,Pinnacle,382.8,,,382.80,,2053686400,Win
2025-02-11,23:10,,Basketball,NCAA,Total,Yes,Connecticut vs Creighton,Under 67.5,-125,600,Pinnacle,480,,,480.00,,2053773993,Win
2025-02-11,22:00,,Basketball,NCAA,Total,No,LiveSE Missouri State vs Arkansas Little Rock,Over 124.5,-111,444,Pinnacle,400,,,-444.00,,2053774550,Loss
2025-02-11,22:10,,Basketball,NBA,Player Prop,No,Malik Beasley (3 Point FG),Over 3.5 3-Point Field Goals,-121,333,Pinnacle,275.21,,,275.21,,2053694277,Win
2025-02-11,23:00,,Basketball,NCAA,Spread,Yes,Colorado vs Kansas,Kansas -10.5,110,600,Pinnacle,660,,,660.00,,2053643840,Win
2025-02-11,22:10,,Basketball,NBA,Spread,No,Detroit Pistons vs Chicago Bulls,Chicago Bulls +2.5,138,300,Pinnacle,414,,,-300.00,,2053653083,Loss
2025-02-11,22:10,,Basketball,NBA,Spread,No,Detroit Pistons vs Chicago Bulls,Chicago Bulls +3.5,119,100,Pinnacle,119,,,-100.00,,2053655585,Loss
2025-02-11,23:00,,Basketball,NCAA,Moneyline,Yes,Loyola Marymount vs Pepperdine,Loyola Marymount,-115,325,Pinnacle,282.61,,,-325.00,,2053668821,Loss
2025-02-11,21:33,,Basketball,NBA,Player Prop,No,Tyrese Haliburton (Points),Under 18.5 Points,-102,300,Pinnacle,294.12,,,294.12,,2053660192,Win
2025-02-11,22:00,,Basketball,NCAA,Spread,No,LiveIndiana State vs Northern Iowa,Northern Iowa -16.5,102,333,Pinnacle,339.66,,,-333.00,,2053774831,Loss
